Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Fit,Cluster,Cluster Name
PUFFTECH Áo Khoác Chần Bông Dáng Relax,UNIQLO,1471000.0,UNIQLO,4.0,5.0,0.0,Áo,VND,3.0,2,Sản phẩm trung bình (ít nổi bật)
PUFFTECH Áo Khoác Chần Bông Gọn Nhẹ,UNIQLO,1275000.0,UNIQLO,0.0,0.0,0.0,Áo,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Phao Lông Vũ Siêu Nhẹ,UNIQLO,1471000.0,UNIQLO,28.0,4.79,0.0,Áo,VND,3.32,2,Sản phẩm trung bình (ít nổi bật)
Seamless Down Áo Parka,UNIQLO,2944000.0,UNIQLO,12.0,4.58,0.0,Áo,VND,3.5,2,Sản phẩm trung bình (ít nổi bật)
Áo Phao Gile Dáng Lửng,UNIQLO,1275000.0,UNIQLO,11.0,4.73,0.0,Áo,VND,3.27,2,Sản phẩm trung bình (ít nổi bật)
Powder Soft Down Áo Phao,UNIQLO,1962000.0,UNIQLO,0.0,0.0,0.0,Áo,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Miracle Air Áo Khoác | Vải Wool-like,UNIQLO,1471000.0,UNIQLO,281.0,4.83,0.0,Áo,VND,3.03,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Denim Trucker,UNIQLO,1275000.0,UNIQLO,31.0,4.94,0.0,Áo,VND,3.16,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Thoải Mái,UNIQLO,1471000.0,UNIQLO,15.0,5.0,0.0,Áo,VND,3.47,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Len,UNIQLO,1962000.0,UNIQLO,0.0,0.0,0.0,Áo,VND,0.0,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Thoải Mái 2B,UNIQLO,1471000.0,UNIQLO,323.0,4.85,0.0,Áo,VND,3.12,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Phao Lông Vũ Siêu Nhẹ,UNIQLO,1471000.0,UNIQLO,58.0,4.91,0.0,Áo,VND,3.17,2,Sản phẩm trung bình (ít nổi bật)
Áo Khoác Lông Vũ Siêu Nhẹ | Có Mũ,UNIQLO,1471000.0,UNIQLO,11.0,4.45,0.0,Áo,VND,3.0,2,Sản phẩm trung bình (ít nổi bật)
