Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Cluster,Cluster Name
UT NYC POP ICONS Áo Thun Ngắn Tay (Basquiat),UNIQLO,391000.0,UNIQLO,101.0,4.89,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Ukiyoe Archive UT Áo Thun Ngắn Tay,UNIQLO,391000.0,UNIQLO,68.0,4.87,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Vải Oxford Dáng Ôm | Kẻ Sọc,UNIQLO,588000.0,UNIQLO,79.0,4.76,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Vải Oxford Dáng Ôm,UNIQLO,588000.0,UNIQLO,100.0,4.84,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Broadcloth | Button Down | Kẻ Sọc,UNIQLO,588000.0,UNIQLO,61.0,4.92,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Broadcloth | Button Down,UNIQLO,588000.0,UNIQLO,137.0,4.69,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Vải Cotton Linen | Cổ Trụ,UNIQLO,588000.0,UNIQLO,86.0,4.87,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Sơ Mi Vải Cotton Modal | Cổ Mở,UNIQLO,588000.0,UNIQLO,248.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
DRY-EX Áo Polo,UNIQLO,489000.0,UNIQLO,153.0,4.62,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Polo | Gài Nút,UNIQLO,489000.0,UNIQLO,247.0,4.91,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Polo | Gài Nút,UNIQLO,489000.0,UNIQLO,208.0,4.81,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Polo Vải Jersey | Cổ Mở,UNIQLO,489000.0,UNIQLO,199.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Polo | Gài Nút,UNIQLO,489000.0,UNIQLO,182.0,4.8,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Cotton Dài Đến Mắt Cá | Vải Denim,UNIQLO,588000.0,UNIQLO,151.0,4.91,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Jogger Dài Vải Washed Jersey,UNIQLO,588000.0,UNIQLO,85.0,4.82,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Dry Easy Short Co Giãn,UNIQLO,391000.0,UNIQLO,456.0,4.9,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Shorts Gear,UNIQLO,588000.0,UNIQLO,86.0,4.9,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
DRY-EX Quần Short Siêu Co Giãn,UNIQLO,489000.0,UNIQLO,346.0,4.88,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Cổ Ngắn | Thể Thao | Lót Lông,UNIQLO,97000.0,UNIQLO,107.0,4.84,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Quần Tất Giữ Nhiệt,UNIQLO,293000.0,UNIQLO,92.0,4.86,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Áo Giữ Nhiệt,UNIQLO,293000.0,UNIQLO,122.0,4.89,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Extra Warm Cotton Quần Tất Giữ Nhiệt,UNIQLO,489000.0,UNIQLO,174.0,4.87,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Extra Warm Cotton Áo Giữ Nhiệt,UNIQLO,489000.0,UNIQLO,332.0,4.86,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Ultra Warm Quần Tất Giữ Nhiệt,UNIQLO,588000.0,UNIQLO,141.0,4.87,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
HEATTECH Ultra Warm Áo Giữ Nhiệt | Cổ Tròn,UNIQLO,588000.0,UNIQLO,230.0,4.9,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Lót Boxer Brief,UNIQLO,146000.0,UNIQLO,108.0,4.94,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Trunks | Broadcloth,UNIQLO,146000.0,UNIQLO,117.0,4.75,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Brief,UNIQLO,244000.0,UNIQLO,159.0,4.92,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Brief | Cạp Thấp,UNIQLO,244000.0,UNIQLO,66.0,4.83,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Briefs Không Đường May,UNIQLO,244000.0,UNIQLO,368.0,4.83,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Lót Dáng Trunk Dệt In Hình,UNIQLO,146000.0,UNIQLO,98.0,4.77,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Thun Cổ Tròn,UNIQLO,244000.0,UNIQLO,459.0,4.83,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Áo Thun | Cổ Tròn,UNIQLO,244000.0,UNIQLO,275.0,4.74,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Áo Thun | Cổ V,UNIQLO,244000.0,UNIQLO,129.0,4.78,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Áo Ba Lỗ Vải Mắt Lưới,UNIQLO,244000.0,UNIQLO,92.0,4.78,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Không Đường May,UNIQLO,244000.0,UNIQLO,112.0,4.76,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Lót Boxer Không Đường May,UNIQLO,244000.0,UNIQLO,187.0,4.78,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Cổ Thấp | Lót Lông,UNIQLO,97000.0,UNIQLO,213.0,4.91,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Cổ Ngắn | Vải Mắt Lưới | Họa Tiết,UNIQLO,97000.0,UNIQLO,113.0,4.86,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
SUPIMA COTTON Tất | Wide Ribbed,UNIQLO,97000.0,UNIQLO,86.0,4.9,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
SUPIMA COTTON Tất | Vải Pique,UNIQLO,97000.0,UNIQLO,87.0,4.86,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
Tất Nhiều Màu,UNIQLO,77000.0,UNIQLO,313.0,4.89,0.0,Tất,VND,0,Sản phẩm cao cấp (ít phổ biến)
Túi Vải Tái Chế (Cotton),UNIQLO,57000.0,UNIQLO,142.0,4.94,0.0,Túi,VND,0,Sản phẩm cao cấp (ít phổ biến)
Túi Quà Tặng,UNIQLO,77000.0,UNIQLO,234.0,4.92,0.0,Túi,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Hoodie Vải Nỉ Dry Siêu Co Giãn Kéo Khóa,UNIQLO,489000.0,UNIQLO,128.0,4.95,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Áo Khoác Chống UV Vải Mắt Lưới,UNIQLO,489000.0,UNIQLO,72.0,4.94,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Áo Khoác Giả Lông Cừu Loại Dày Kéo Khóa,UNIQLO,489000.0,UNIQLO,198.0,4.89,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Thun In Họa Tiết | Raglan,UNIQLO,244000.0,UNIQLO,103.0,4.88,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Thun Cổ Tròn | Kẻ Sọc,UNIQLO,244000.0,UNIQLO,107.0,4.95,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Thun Cổ Tròn | Kẻ Sọc,UNIQLO,244000.0,UNIQLO,127.0,4.94,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Cotton Áo Thun Cổ Tròn,UNIQLO,244000.0,UNIQLO,452.0,4.92,0.0,Áo,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Dài Parachute Túi Hộp (Cargo),UNIQLO,489000.0,UNIQLO,169.0,4.92,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Jeans Dáng Rộng | Kéo Khóa,UNIQLO,489000.0,UNIQLO,98.0,4.94,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
AIRism Quần Jogger Siêu Co Giãn,UNIQLO,391000.0,UNIQLO,81.0,4.98,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Váy Dry Vải Nỉ,UNIQLO,391000.0,UNIQLO,162.0,4.98,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
Quần Easy Short,UNIQLO,293000.0,UNIQLO,109.0,4.86,0.0,Quần,VND,0,Sản phẩm cao cấp (ít phổ biến)
