Tên sản phẩm,Tên cửa hàng,Giá,Thương hiệu,Lượt đánh giá,Điểm đánh giá trung bình,Số lượng đã bán,Category,Currency,Fit,Cluster
"Trang phục Noel nữ, đầm noel chất liệu nhung siêu đẹp DT09",Trang phục biểu diễn Dũng Trum,180000.0,OEM,0.0,0.0,0.0,Đầm,VND,0.0,0
"Đầm Noel nữ cao cấp nổi bật, váy hóa trang Noel chất nhung cực đẹp DT41",Trang phục biểu diễn Dũng Trum,280000.0,OEM,0.0,0.0,0.0,Váy,VND,0.0,0
YKK Túi Xách Vải Oxford Chống Thấm Nước Mark Ryden,YuanBao Global Store,720000.0,Mark Ryden,0.0,0.0,1.0,Túi,VND,0.0,0
Túi Đeo Chéo Nam Nhiều Lớp Nhiều Ngăn Chống Nước Chống Trộm Mark Ryden,YuanBao Global Store,364000.0,Mark Ryden,0.0,0.0,1.0,Túi,VND,0.0,0
Ba lô MARK RYDEN đựng máy tính xách tay 15.6inch tiện lợi,YuanBao Global Store,829000.0,Mark Ryden,0.0,0.0,1.0,Balo/Cặp,VND,0.0,0
"Túi đựng máy tính bảng MARK RYDEN dành cho nam (15.6"")-Hàng chính hãng",YuanBao Global Store,429000.0,Mark Ryden,0.0,0.0,1.0,Túi,VND,0.0,0
Đồng hồ cơ nam bán tự động Skeleton  Mặt số lớn lên dây cót-Màu đen,amazingln,456000.0,Winner,0.0,0.0,1.0,Đồng Hồ,VND,0.0,0
ĐẦM XÒE CHIFFON CỔ SEN TRẮNG,THỜI TRANG TINA,129000.0,OEM,0.0,0.0,0.0,Đầm,VND,0.0,0
"Balo nam siêu nhẹ MARK RYDEN 2022 (15.6 "")",YuanBao Global Store,650000.0,Mark Ryden,0.0,0.0,1.0,Balo/Cặp,VND,0.0,0
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc màu trắng điệu đà",Thời trang Jellystore,90000.0,OEM,63.0,4.5,124.0,Váy,VND,0.0,0
VÁY ĐẦM XÒE MÀU ĐEN PHỐI CỔ TRẮNG ĐÍNH PHỤ KIỆN THANH LỊCH SIZE TỪ 40-70KG,THỜI TRANG TINA,149000.0,OEM,9.0,3.1,20.0,Váy,VND,0.0,0
Kính chống ánh sáng xanh chống tia UV Xiaomi mijia tiện dụng,Yingduoduo,379000.0,Xiaomi,1.0,5.0,3.0,Mắt Kính,VND,0.0,0
Váy đầm xòe dự tiệc công chúa màu trắng thanh lịch duyên dáng có bigsize mẫu mới giá rẻ đẹp,THỜI TRANG TINA,219000.0,OEM,1.0,5.0,6.0,Váy,VND,0.0,0
Đầm xòe sọc caro phối cổ trắng xinh xắn thanh lịch đủ size từ 38-71kg,THỜI TRANG TINA,139000.0,OEM,1.0,4.0,5.0,Đầm,VND,0.0,0
VÁY LỤA TRẮNG CAO CẤP 2 LỚP PARTY ,Thời trang công sở Helen Kieu,1580000.0,HELEN KIỀU LUXURY,0.0,0.0,0.0,Váy,VND,0.0,0
Đầm Xòe Hoa Xanh Cổ Ren Trắng Kèm Thắt Lưng Rời Chất Lụa Mango Nhập Cao Cấp Có Lót Trong Thanh Lịch 5 Size Mộc Garden,THỜI TRANG TINA,225000.0,OEM,1.0,5.0,2.0,Đầm,VND,0.0,0
Đầm cô dâu váy cưới màu trắng dona22120101,DONA Thời Trang,377000.0,OEM,0.0,0.0,0.0,Váy,VND,0.0,0
ĐẦM XÒE CỔ VUÔNG VIỀN REN 2 MÀU TRẮNG VÀNG DUYÊN DÁNG SIZE TỪ 40-71KG,THỜI TRANG TINA,99000.0,OEM,0.0,0.0,2.0,Đầm,VND,0.0,0
Váy đầm xòe sọc caro phối trắng xinh xắn size từ 40-70kg,THỜI TRANG TINA,149000.0,OEM,0.0,0.0,2.0,Váy,VND,0.0,0
"Váy maxi 2 dây lưng trần sexy, họa tiết trang nhã, thích hợp đi biển, dạ hội, sự kiện",monkibaby,280000.0,OEM,0.0,0.0,6.0,Váy,VND,0.0,0
ĐẦM XÒE CỔ VE TRẮNG THẮT EO DUYÊN DÁNG SIZE TỪ 40-71KG,THỜI TRANG TINA,149000.0,OEM,1.0,2.0,2.0,Đầm,VND,0.0,0
Váy đầm xòe công chúa màu trắng dự tiệc cổ vuông tay phồng dây rút xinh xắn bigsize mẫu mới giá rẻ đẹp hót hít,THỜI TRANG TINA,139000.0,OEM,0.0,0.0,0.0,Váy,VND,0.0,0
Đầm sọc dễ thương phối viền cổ trắng,THỜI TRANG BOBOSHOP,159000.0,OEM,0.0,0.0,0.0,Đầm,VND,0.0,0
Kính Mát Chống Xiaomi Mijia Chống Tia UV400 Kiểu Dáng Thể Thao Năng Động,Yingduoduo,560000.0,Xiaomi,3.0,4.7,10.0,Mắt Kính,VND,0.0,0
"Xiaomi Mijia Pilota Kính râm phân cực  chống UV400 cho nam giới và phụ nữ lái xe chung, du lịch, quà tặng",Yingduoduo,729000.0,Xiaomi,8.0,5.0,11.0,Mắt Kính,VND,0.0,0
Kính đi nắng chống UV phân cực Xiaomi TS Turok Steinhardt bản Cao Cấp CHÍNH HÃNG-Hàng chính hãng,Yingduoduo,760000.0,Xiaomi,4.0,4.8,9.0,Mắt Kính,VND,0.0,0
"Áo khoác dài tay phản quang chống nước, chống gió-Màu quả ca",Ideal outdoors,475000.0,WOSAWE,0.0,0.0,4.0,Áo,VND,0.0,0
Weikani 65L Chống Nước Đi Bộ Đường Dài Ba Lô Có Che Mưa Thể Thao Du Lịch Daypack Cho Cắm Trại Leo Núi Leo Núi,Ideal outdoors,578000.0,weikani,0.0,0.0,3.0,Balo/Cặp,VND,0.0,0
Máy Sấy Và Khử Trùng Giày Xiaomi Youpin SOTHING DSHJ-S-1904 Zero-One Cầm Tay,Yingduoduo,334000.0,Xiaomi,2.0,5.0,7.0,Giày,VND,0.0,0
Xiaomi Kính Mát  Luke Chống Tia UV400 Chống Tia UV Cho Nam Nữ,MOKOEZ,561000.0,Xiaomi,1.0,5.0,2.0,Mắt Kính,VND,0.0,0
Balo Đựng Laptop 15.6 Inch Mark Ryden MR9813 Phong Cách Doanh Nhân Đơn Giản Thời Trang,YuanBao Global Store,559000.0,Mark Ryden,1.0,5.0,2.0,Balo/Cặp,VND,0.0,0
"Balo đi xe đạp dung tích 10L, vải nylon siêu nhẹ chống thấm nước và chống rách.-Màu quả cam",Ideal outdoors,320000.0,WEST BIKING,0.0,0.0,2.0,Balo/Cặp,VND,0.0,0
Xiaomi  MOJIETU T1  kính mát phân cực thời trang vintage cho nam,Yingduoduo,669000.0,MOJIETU,0.0,0.0,1.0,Mắt Kính,VND,0.0,0
Xiaomi Kính mát phân cực  UV400 6 lớp thời trang,MOKOEZ,379000.0,Xiaomi,0.0,0.0,1.0,Mắt Kính,VND,0.0,0
