Product ID,Product Name,Price,Currency,Colors,URL,Rating,Total Ratings,Fit,Rating Count
E465707-000,AIRism Áo Bra Hai Dây,489000.0000,VND,"['WHITE', 'GRAY', 'BLACK', 'PINK', 'NATURAL']",https://www.uniqlo.com/vn/vi/products/E465707-000?colorCode=COL00&sizeCode=SMA003,4.9,264,3.03,"{'one': 1, 'two': 1, 'three': 4, 'four': 12, 'five': 246}"
E476370-000,Áo Thun Bra Vải Gân Dáng Ngắn Cổ Vuông,489000.0000,VND,"['WHITE', 'BLACK', 'DARK BROWN', 'BLUE']",https://www.uniqlo.com/vn/vi/products/E476370-000?colorCode=COL00&sizeCode=SMA002,4.85,179,2.98,"{'one': 0, 'two': 2, 'three': 4, 'four': 13, 'five': 160}"
E475629-000,Áo Ngực Không Gọng | Thể Thao,489000.0000,VND,"['BLACK', 'DARK GREEN']",https://www.uniqlo.com/vn/vi/products/E475629-000?colorCode=COL09&sizeCode=SMA003,5,9,2.89,"{'one': 0, 'two': 0, 'three': 0, 'four': 0, 'five': 9}"
E477293-000,UT NY POP ART Áo Thun | Basquiat,391000.0000,VND,['DARK GRAY'],https://www.uniqlo.com/vn/vi/products/E477293-000?colorCode=COL08&sizeCode=SMA002,N/A,N/A,N/A,{}
E477292-000,UT NY POP ART Áo Thun | Basquiat,391000.0000,VND,['WHITE'],https://www.uniqlo.com/vn/vi/products/E477292-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A,{}
E477291-000,UT NY POP ART Áo Thun | Basquiat,391000.0000,VND,['OFF WHITE'],https://www.uniqlo.com/vn/vi/products/E477291-000?colorCode=COL01&sizeCode=SMA002,5,1,4,"{'one': 0, 'two': 0, 'three': 0, 'four': 0, 'five': 1}"
E477290-000,UT NY POP ART Áo Thun | Keith,391000.0000,VND,['BLACK'],https://www.uniqlo.com/vn/vi/products/E477290-000?colorCode=COL09&sizeCode=SMA002,N/A,N/A,N/A,{}
E477289-000,UT NY POP ART Áo Thun | Keith,391000.0000,VND,['WHITE'],https://www.uniqlo.com/vn/vi/products/E477289-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A,{}
E477288-000,UT NY POP ART Áo Thun | Keith,391000.0000,VND,['WHITE'],https://www.uniqlo.com/vn/vi/products/E477288-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A,{}
E477287-000,UT NY POP ART Áo Thun | Andy Warhol,391000.0000,VND,['BLACK'],https://www.uniqlo.com/vn/vi/products/E477287-000?colorCode=COL09&sizeCode=SMA002,N/A,N/A,N/A,{}
E477286-000,UT NY POP ART Áo Thun | Andy Warhol,391000.0000,VND,['WHITE'],https://www.uniqlo.com/vn/vi/products/E477286-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A,{}
E474416-000,UT NY POP ART Áo Thun | Andy Warhol,391000.0000,VND,['WHITE'],https://www.uniqlo.com/vn/vi/products/E474416-000?colorCode=COL00&sizeCode=SMA002,N/A,N/A,N/A,{}
E475162-002,Mũ Lưỡi Trai Chống UV | Keith Haring,489000.0000,VND,['LIGHT GREEN'],https://www.uniqlo.com/vn/vi/products/E475162-002?colorCode=COL50&sizeCode=SIZ999,N/A,N/A,N/A,{}
E475162-001,Mũ Lưỡi Trai Chống UV | Keith Haring,489000.0000,VND,['NAVY'],https://www.uniqlo.com/vn/vi/products/E475162-001?colorCode=COL69&sizeCode=SIZ999,N/A,N/A,N/A,{}
E475162-000,Mũ Lưỡi Trai Chống UV | Keith Haring,489000.0000,VND,['OFF WHITE'],https://www.uniqlo.com/vn/vi/products/E475162-000?colorCode=COL01&sizeCode=SIZ999,N/A,N/A,N/A,{}
E477148-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0000,VND,['WHITE'],https://www.uniqlo.com/vn/vi/products/E477148-000?colorCode=COL00&sizeCode=SMA002,4.93,29,3.21,"{'one': 0, 'two': 0, 'three': 0, 'four': 2, 'five': 27}"
E477147-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0000,VND,['DARK GREEN'],https://www.uniqlo.com/vn/vi/products/E477147-000?colorCode=COL59&sizeCode=SMA002,5,13,3.15,"{'one': 0, 'two': 0, 'three': 0, 'four': 0, 'five': 13}"
E477146-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0000,VND,['DARK GRAY'],https://www.uniqlo.com/vn/vi/products/E477146-000?colorCode=COL08&sizeCode=SMA002,4.83,6,3,"{'one': 0, 'two': 0, 'three': 0, 'four': 1, 'five': 5}"
E474425-000,UT ARCANE LEAGUE OF LEGENDS Áo Thun,391000.0000,VND,['BLACK'],https://www.uniqlo.com/vn/vi/products/E474425-000?colorCode=COL09&sizeCode=SMA002,4.94,18,2.94,"{'one': 0, 'two': 0, 'three': 0, 'four': 1, 'five': 17}"
E477501-000,UT MAGIC FOR ALL ICONS Áo Thun,391000.0000,VND,['WHITE'],https://www.uniqlo.com/vn/vi/products/E477501-000?colorCode=COL00&sizeCode=SMA002,3,1,3,"{'one': 0, 'two': 0, 'three': 1, 'four': 0, 'five': 0}"
E477488-000,UT MAGIC FOR ALL ICONS Áo Thun,391000.0000,VND,['BLUE'],https://www.uniqlo.com/vn/vi/products/E477488-000?colorCode=COL61&sizeCode=SMA002,N/A,N/A,N/A,{}
